timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
1509348811.973005056,-6.1602950096,15.7558774948,1.6864197254,-0.0871811966,-0.0228365588,0.4928955482
1509348812.073168993,-6.2736477852,15.7707166672,1.6861356497,-0.0548250408,-0.0264963104,0.4809028011
1509348812.173300028,-6.3065981865,15.9106073380,1.7707395554,-0.0508657846,-0.0223522613,0.4584275579
1509348812.373351097,-6.4242854118,16.2085189819,1.7673779726,-0.1104846818,-0.0013767366,0.4579845723
1509348812.473520994,-6.4875903130,16.3097686768,1.7076365948,-0.1285572982,0.0049625828,0.4599828386
1509348812.573575974,-6.5361323357,16.4382839203,1.6537774801,-0.1042079651,0.0140625462,0.4495326601
1509348812.773940086,-6.6752910614,16.7582569122,1.7781137228,-0.1000540100,-0.0100371436,0.4649724477
1509348812.873825073,-6.7354698181,16.8392639160,1.7600504160,-0.1083076888,-0.0322316426,0.4968024153
1509348812.973938942,-6.7985806465,16.9234943390,1.7173224688,-0.1176463119,-0.0375496607,0.5105341950
1509348813.074019909,-6.8892993927,17.0494194031,1.6441046000,-0.1063027654,-0.0450903146,0.5106216749
1509348813.174066067,-6.9663796425,17.1283454895,1.6928730011,-0.0772915012,-0.0553724041,0.4944004664
1509348813.274177074,-7.0201191902,17.2645950317,1.7632491589,-0.0766893405,-0.0507984489,0.4809865270
1509348813.374286890,-7.0753188133,17.4047317505,1.7624299526,-0.0972907818,-0.0330049537,0.4747017966
1509348813.475100040,-7.1492471695,17.4955348969,1.7328425646,-0.1180518085,-0.0228719451,0.4612442927
1509348813.574465990,-7.2334294319,17.5587329865,1.6344630718,-0.1068062348,-0.0268588094,0.4313054078
1509348813.674484968,-7.2321410179,17.7610168457,1.6217454672,-0.0546844491,-0.0256713939,0.4022850523
1509348813.774589062,-7.2704453468,17.9269065857,1.7447144985,-0.0415085144,-0.0253023958,0.3971918750
1509348813.874643087,-7.3511228561,18.0510234833,1.7508840561,-0.0546933616,-0.0404991230,0.4181115463
1509348813.974843025,-7.4207496643,18.0698451996,1.7476596832,-0.0650066971,-0.0508647967,0.4227214417
1509348814.074803114,-7.5075359344,18.2017383575,1.7146804333,-0.0810648426,-0.0731461713,0.4113001357
1509348814.174902916,-7.5701413155,18.3237075806,1.6304813623,-0.0563118697,-0.1047077390,0.3909036559
1509348814.275093079,-7.6670651436,18.3264293671,1.6611975431,-0.0031549618,-0.1080086055,0.3629881019
1509348814.375099897,-7.7101483345,18.4675350189,1.7891683578,-0.0049508000,-0.1065151839,0.3344334712
1509348814.475172997,-7.7404146194,18.6514739990,1.7789853811,-0.0396070094,-0.1116068029,0.3211859390
1509348814.575294971,-7.7722749710,18.8211822510,1.7323036194,-0.0579610082,-0.1018287363,0.3277279418
1509348814.675344944,-7.7898697853,18.9563751221,1.6404749155,-0.0527412739,-0.0744089545,0.3435305520
1509348814.775494099,-7.7997503281,19.0935020447,1.6441321373,-0.0168291278,-0.0458778664,0.3644202592
1509348814.875602961,-7.8280897141,19.2022724152,1.7729482651,-0.0268415084,-0.0355949784,0.3850029861
1509348814.975687027,-7.8840718269,19.3666439056,1.7678917646,-0.0546324082,-0.0410642934,0.4274296656
1509348815.075715065,-7.9555630684,19.4221153259,1.7510304451,-0.0704756943,-0.0449675464,0.4456194853
1509348815.175843954,-8.0219068527,19.5566501617,1.7141731977,-0.0795612507,-0.0548782438,0.4404544591
1509348815.275906086,-8.0942029953,19.6515808105,1.6104210615,-0.0536997363,-0.0711105490,0.4384621689
1509348815.476013899,-8.2311077118,19.8664207458,1.8067761660,-0.0387642268,-0.0762546917,0.4394058776
1509348815.576172113,-8.2943420410,20.0097007751,1.7908928394,-0.0728977693,-0.0697724991,0.4580442463
1509348815.676172018,-8.3687610626,20.1354503632,1.7602719069,-0.0936968871,-0.0652048638,0.4837016500
