frame,path,points,sampled_points,lambda1,lambda2,lambda3,linearity,planarity,scattering,degeneracy_score,range_mean_m,range_p95_m,intensity_mean,intensity_std,intensity_p05,intensity_p95
10,dogfooding_results/lidar_degeneracy_tunnel_full/00000010/cloud.pcd,39856,19928,46.72339690304844,16.929721501331144,3.8622551116763417,0.6376607305230717,0.2796771479772744,0.08266212149965388,0.6376607305230717,6.638051054766979,14.775663166026058,1820.4716981132076,1499.2768991400314,45.0,4724.0
11,dogfooding_results/lidar_degeneracy_tunnel_full/00000011/cloud.pcd,39770,19885,46.33936113884037,16.937698329913193,3.8570180280012276,0.6344857176782163,0.2822801173870328,0.08323416493475094,0.6344857176782163,6.635201915849313,14.731345310979929,1824.4010812169977,1498.4968351425362,51.0,4728.549999999996
12,dogfooding_results/lidar_degeneracy_tunnel_full/00000012/cloud.pcd,39811,19906,46.369080548008014,16.939012774340828,3.859752957712321,0.6346916398999307,0.28206856081795617,0.08323979928211307,0.6346916398999307,6.641284319946598,14.765959777482195,1822.8342166737837,1498.997337306597,50.0,4724.0
13,dogfooding_results/lidar_degeneracy_tunnel_full/00000013/cloud.pcd,39774,19887,46.44073795493858,16.938059392177735,3.8536246108244807,0.6352758345784099,0.2817447645653063,0.08297940085628377,0.6352758345784099,6.64250353386033,14.79322086758686,1824.6971388344145,1498.2286555572352,53.65000000000009,4731.0
14,dogfooding_results/lidar_degeneracy_tunnel_full/00000014/cloud.pcd,39768,19884,46.368989849845185,16.93819749954277,3.864512566785871,0.6347085076816845,0.2819488838357894,0.08334260848252603,0.6347085076816845,6.639784749297888,14.745748638715021,1823.7468567692617,1497.711576798208,54.0,4724.6500000000015
15,dogfooding_results/lidar_degeneracy_tunnel_full/00000015/cloud.pcd,39779,19890,46.93029754170592,16.94071815031664,3.8563564186805563,0.6390238494596844,0.2788041503467627,0.08217200019355295,0.6390238494596844,6.6467138702134605,14.771954217031096,1823.6886296789764,1497.8462026935317,56.0,4722.0
16,dogfooding_results/lidar_degeneracy_tunnel_full/00000016/cloud.pcd,39771,19886,45.87478735901855,16.933000429081165,3.852086753906922,0.6308865631013699,0.28514385413500254,0.08396958276362754,0.6308865631013699,6.6282670858684565,14.722735920850411,1825.2032888285435,1498.2626390225885,56.0,4732.0
17,dogfooding_results/lidar_degeneracy_tunnel_full/00000017/cloud.pcd,39801,19901,45.86123665613691,16.924145563776406,3.860418507958934,0.6309705799982673,0.2848533534707759,0.08417606653095677,0.6309705799982673,6.630644962288495,14.7705323532916,1823.1056757367905,1498.862291868024,52.0,4728.0
18,dogfooding_results/lidar_degeneracy_tunnel_full/00000018/cloud.pcd,39758,19879,46.57489143250752,16.945657575325892,3.862752766590504,0.6361632404472238,0.2809003822949121,0.08293637725786406,0.6361632404472238,6.645179761697257,14.782210716435898,1824.6222143971024,1497.8779699425393,54.0,4722.300000000003
19,dogfooding_results/lidar_degeneracy_tunnel_full/00000019/cloud.pcd,39720,19860,45.93685857358588,16.965741298445803,3.8568441157340194,0.630672583514423,0.28536773279158273,0.08395968369399427,0.630672583514423,6.639712511512075,14.712517867676725,1825.8336606243706,1497.6970434764708,59.0,4725.049999999996
